Country or Area,Year,Item,Value
"Iran, Islamic Republic of",2019,Gross Domestic Product (GDP),7282.005946
"Iran, Islamic Republic of",2018,Gross Domestic Product (GDP),5647.179072
Iraq,2019,Gross Domestic Product (GDP),5729.677358
Iraq,2018,Gross Domestic Product (GDP),5606.799306
Ireland,2019,Gross Domestic Product (GDP),81636.57855
Ireland,2018,Gross Domestic Product (GDP),80137.0626
Israel,2019,Gross Domestic Product (GDP),46376.46651
Israel,2018,Gross Domestic Product (GDP),44214.91035
Italy,2019,Gross Domestic Product (GDP),33089.57331
Italy,2018,Gross Domestic Product (GDP),34498.40692
Jamaica,2019,Gross Domestic Product (GDP),5369.49399
Jamaica,2018,Gross Domestic Product (GDP),5360.003954
Japan,2019,Gross Domestic Product (GDP),40063.48535
Japan,2018,Gross Domestic Product (GDP),38952.21098
Jordan,2019,Gross Domestic Product (GDP),4405.480596
Jordan,2018,Gross Domestic Product (GDP),4308.18107
Kazakhstan,2019,Gross Domestic Product (GDP),9792.625928
Kazakhstan,2018,Gross Domestic Product (GDP),9789.504209
Kenya,2019,Gross Domestic Product (GDP),1816.523795
Kenya,2018,Gross Domestic Product (GDP),1708.002041
Kingdom of Eswatini,2019,Gross Domestic Product (GDP),4001.578285
Kingdom of Eswatini,2018,Gross Domestic Product (GDP),4152.372473
Kiribati,2019,Gross Domestic Product (GDP),1656.944815
Kiribati,2018,Gross Domestic Product (GDP),1698.242583
Kosovo,2019,Gross Domestic Product (GDP),4473.427005
Kosovo,2018,Gross Domestic Product (GDP),4452.577367
Kuwait,2019,Gross Domestic Product (GDP),31999.27189
Kuwait,2018,Gross Domestic Product (GDP),33999.24296
Kyrgyzstan,2019,Gross Domestic Product (GDP),1317.770772
Kyrgyzstan,2018,Gross Domestic Product (GDP),1312.034714
Lao People's Democratic Republic,2019,Gross Domestic Product (GDP),2625.387111
Lao People's Democratic Republic,2018,Gross Domestic Product (GDP),2569.092464
Latvia,2019,Gross Domestic Product (GDP),17885.42744
Latvia,2018,Gross Domestic Product (GDP),17846.38038
Lebanon,2019,Gross Domestic Product (GDP),7784.316857
Lebanon,2018,Gross Domestic Product (GDP),8012.539237
Lesotho,2019,Gross Domestic Product (GDP),1157.536027
Lesotho,2018,Gross Domestic Product (GDP),1221.123238
Liberia,2019,Gross Domestic Product (GDP),522.9991678
Liberia,2018,Gross Domestic Product (GDP),569.6144774
Libya,2019,Gross Domestic Product (GDP),4810.082385
Libya,2018,Gross Domestic Product (GDP),5201.197893
Liechtenstein,2019,Gross Domestic Product (GDP),178799.45
Liechtenstein,2018,Gross Domestic Product (GDP),180407.852
Lithuania,2019,Gross Domestic Product (GDP),19795.21575
Lithuania,2018,Gross Domestic Product (GDP),19178.08643
Luxembourg,2019,Gross Domestic Product (GDP),115480.8676
Luxembourg,2018,Gross Domestic Product (GDP),117369.5405
Madagascar,2019,Gross Domestic Product (GDP),522.9895109
Madagascar,2018,Gross Domestic Product (GDP),523.9459785
